"","District","Name","TEA","NCES","Charter","Student_Population","Subject","Score"
"95",3903,"LUFKIN ISD","E","33","N","Special","Math","31"
"96",3903,"LUFKIN ISD","E","33","N","Special","Reading","31"
"97",3904,"HUNTINGTON ISD","G","42","N","All","Math","44"
"98",3904,"HUNTINGTON ISD","G","42","N","All","Reading","36"
"99",3904,"HUNTINGTON ISD","G","42","N","Econ_Dis","Math","38"
"100",3904,"HUNTINGTON ISD","G","42","N","Econ_Dis","Reading","35"
"101",3904,"HUNTINGTON ISD","G","42","N","Female","Math","35"
"102",3904,"HUNTINGTON ISD","G","42","N","Female","Reading","34"
"103",3904,"HUNTINGTON ISD","G","42","N","Male","Math","54"
"104",3904,"HUNTINGTON ISD","G","42","N","Male","Reading","38"
"105",3904,"HUNTINGTON ISD","G","42","N","At_Risk","Math","26"
"106",3904,"HUNTINGTON ISD","G","42","N","At_Risk","Reading","14"
"107",3904,"HUNTINGTON ISD","G","42","N","Special","Math","50"
"108",3904,"HUNTINGTON ISD","G","42","N","Special","Reading","38"
"109",3905,"DIBOLL ISD","G","33","N","All","Math","35"
"110",3905,"DIBOLL ISD","G","33","N","All","Reading","39"
"111",3905,"DIBOLL ISD","G","33","N","Econ_Dis","Math","31"
"112",3905,"DIBOLL ISD","G","33","N","Econ_Dis","Reading","32"
"113",3905,"DIBOLL ISD","G","33","N","Female","Math","29"
"114",3905,"DIBOLL ISD","G","33","N","Female","Reading","38"
"115",3905,"DIBOLL ISD","G","33","N","Male","Math","40"
"116",3905,"DIBOLL ISD","G","33","N","Male","Reading","40"
"117",3905,"DIBOLL ISD","G","33","N","At_Risk","Math","24"
"118",3905,"DIBOLL ISD","G","33","N","At_Risk","Reading","25"
"119",3905,"DIBOLL ISD","G","33","N","Special","Math","25"
"120",3905,"DIBOLL ISD","G","33","N","Special","Reading","25"
"121",3907,"CENTRAL ISD","G","41","N","All","Math","33"
"122",3907,"CENTRAL ISD","G","41","N","All","Reading","45"
"123",3907,"CENTRAL ISD","G","41","N","Econ_Dis","Math","27"
"124",3907,"CENTRAL ISD","G","41","N","Econ_Dis","Reading","43"
"125",3907,"CENTRAL ISD","G","41","N","Female","Math","36"
"126",3907,"CENTRAL ISD","G","41","N","Female","Reading","43"
"127",3907,"CENTRAL ISD","G","41","N","Male","Math","31"
"128",3907,"CENTRAL ISD","G","41","N","Male","Reading","48"
"129",3907,"CENTRAL ISD","G","41","N","At_Risk","Math","10"
"130",3907,"CENTRAL ISD","G","41","N","At_Risk","Reading","21"
"131",3907,"CENTRAL ISD","G","41","N","Special","Math","8"
