DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'011904,41,41,-1,-1,-1,-1,.,.,59,42,20,0,40,33,64,53,53,42,.,.,29,29,55,31,43,20,20,0,74,48,64,47,43,26,67,67
'011905,56,22,.,.,.,.,.,.,62,65,.,.,43,50,60,87,46,38,.,.,63,13,64,36,55,36,-1,-1,77,92,53,53,73,82,-1,-1
'012901,-1,-1,-1,-1,.,.,.,.,36,43,.,.,32,36,30,55,42,25,.,.,-1,-1,41,32,9,18,20,0,37,52,41,41,20,50,-1,-1
'013801,.,.,-1,-1,.,.,.,.,40,56,-1,-1,39,48,37,63,32,49,.,.,.,.,44,44,30,30,-1,-1,80,80,41,56,-1,-1,.,.
'013901,50,38,-1,-1,.,.,-1,-1,32,35,29,29,32,34,30,37,34,35,.,.,50,38,34,33,18,17,32,22,23,35,33,36,27,30,-1,-1
'013902,.,.,.,.,.,.,.,.,27,27,.,.,17,17,-1,-1,14,14,.,.,.,.,25,25,-1,-1,-1,-1,-1,-1,40,40,17,17,-1,-1
'013903,.,.,.,.,.,.,.,.,58,50,.,.,44,38,50,50,67,60,.,.,.,.,67,50,-1,-1,-1,-1,44,33,65,53,43,43,-1,-1
'013905,-1,-1,-1,-1,.,.,.,.,39,49,-1,-1,27,43,36,48,28,38,.,.,-1,-1,42,50,20,33,-1,-1,56,69,40,50,36,45,-1,-1
'014801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'014803,-1,-1,43,43,.,.,-1,-1,42,33,25,33,38,29,40,50,38,31,-1,-1,-1,-1,43,25,22,11,-1,-1,57,35,60,45,33,28,-1,-1
