DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'029901,76,49,-1,-1,87,60,.,.,67,52,-1,-1,63,45,66,50,60,47,.,.,71,34,68,53,57,34,26,19,76,60,64,51,86,59,-1,-1
'030901,.,.,.,.,.,.,.,.,38,38,.,.,29,36,45,55,.,.,.,.,.,.,33,27,21,14,-1,-1,38,38,41,41,-1,-1,-1,-1
'030902,.,.,60,60,.,.,.,.,39,38,-1,-1,32,32,36,44,38,25,.,.,.,.,42,33,-1,-1,15,15,38,38,42,40,29,33,-1,-1
'030903,.,.,.,.,.,.,.,.,24,35,.,.,30,30,29,43,0,17,.,.,.,.,20,30,-1,-1,-1,-1,36,45,23,38,-1,-1,-1,-1
'030906,.,.,-1,-1,.,.,.,.,48,48,-1,-1,41,41,65,65,-1,-1,.,.,.,.,25,25,10,10,13,13,48,52,57,57,17,17,-1,-1
'031901,53,41,.,.,100,60,.,.,56,46,-1,-1,54,44,54,47,56,46,.,.,46,32,57,45,48,36,31,25,56,67,56,46,54,46,56,48
'031903,48,36,-1,-1,100,80,.,.,52,44,83,67,49,40,51,47,52,44,.,.,48,36,54,42,38,26,40,39,58,53,53,45,51,40,47,47
'031905,57,40,.,.,.,.,.,.,54,44,-1,-1,52,39,48,50,54,45,.,.,56,38,60,39,38,28,32,20,60,40,55,45,43,39,-1,-1
'031906,64,48,.,.,-1,-1,.,.,63,52,-1,-1,59,48,62,56,62,51,.,.,63,48,63,48,57,42,37,29,67,61,63,52,61,50,-1,-1
'031909,37,31,.,.,-1,-1,.,.,45,39,.,.,40,35,46,41,45,40,.,.,37,30,43,37,35,30,11,5,33,22,44,40,53,35,-1,-1
'031911,35,26,.,.,.,.,.,.,37,33,.,.,34,27,42,44,36,34,.,.,17,17,30,21,16,14,9,9,-1,-1,37,33,36,36,.,.
'031912,44,29,-1,-1,.,.,.,.,49,39,-1,-1,46,36,50,44,50,39,.,.,38,24,49,35,37,26,33,27,-1,-1,49,39,49,41,42,42
'031913,47,40,.,.,.,.,.,.,33,38,.,.,33,38,31,54,33,38,.,.,47,40,36,18,44,44,-1,-1,.,.,33,43,-1,-1,.,.
'031914,46,29,.,.,.,.,.,.,53,41,.,.,51,38,49,51,53,41,.,.,46,29,57,31,35,28,30,20,.,.,53,38,54,54,-1,-1
'031916,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'032902,60,51,60,60,-1,-1,.,.,59,58,39,52,55,55,54,62,56,52,.,.,59,50,64,55,47,49,47,47,70,68,60,59,50,55,14,43
'033901,.,.,.,.,.,.,.,.,67,33,.,.,60,20,-1,-1,-1,-1,.,.,.,.,60,40,-1,-1,-1,-1,60,40,-1,-1,-1,-1,.,.
'033902,-1,-1,.,.,.,.,.,.,41,47,.,.,18,32,42,46,40,40,-1,-1,-1,-1,40,48,20,13,17,33,40,47,39,44,46,54,.,.
'033904,.,.,.,.,.,.,.,.,47,41,.,.,37,21,40,33,-1,-1,.,.,.,.,53,47,38,13,20,0,46,36,45,41,50,40,.,.
'034901,67,67,33,50,-1,-1,.,.,47,52,38,41,41,47,44,50,57,50,.,.,67,67,51,55,35,31,40,27,53,59,48,52,44,52,50,67
'034902,.,.,.,.,.,.,.,.,14,29,-1,-1,0,20,-1,-1,-1,-1,.,.,.,.,20,40,-1,-1,-1,-1,0,20,0,0,-1,-1,.,.
'034903,-1,-1,-1,-1,.,.,.,.,44,41,33,33,33,33,34,34,43,57,.,.,-1,-1,55,48,35,28,25,38,45,41,45,41,38,38,-1,-1
'034905,-1,-1,-1,-1,.,.,.,.,38,19,18,0,31,8,35,15,29,14,.,.,-1,-1,41,24,38,0,-1,-1,53,29,43,21,22,11,.,.
'034906,.,.,-1,-1,.,.,.,.,45,55,.,.,40,60,47,67,.,.,.,.,.,.,43,43,29,29,20,20,48,56,44,56,45,55,-1,-1
'034907,.,.,-1,-1,.,.,.,.,40,57,33,33,36,55,27,63,.,.,.,.,.,.,53,50,32,50,17,33,42,60,40,63,41,41,-1,-1
'034909,.,.,.,.,.,.,.,.,44,31,.,.,38,23,44,44,-1,-1,.,.,.,.,43,14,27,9,.,.,47,33,38,38,-1,-1,.,.
'035901,48,32,-1,-1,-1,-1,.,.,40,38,-1,-1,45,43,44,45,38,35,.,.,46,27,34,26,42,25,9,0,63,63,40,40,40,27,.,.
'035902,-1,-1,.,.,.,.,.,.,25,35,.,.,26,37,22,22,21,32,.,.,-1,-1,27,45,14,43,.,.,-1,-1,25,31,-1,-1,-1,-1
'035903,.,.,.,.,.,.,.,.,81,69,.,.,-1,-1,78,67,-1,-1,.,.,.,.,86,71,60,40,-1,-1,87,73,85,77,-1,-1,-1,-1
'036901,40,27,-1,-1,.,.,.,.,42,24,27,27,37,22,38,29,35,19,.,.,0,0,45,20,46,27,40,40,49,27,42,26,38,15,-1,-1
'036902,67,54,85,85,-1,-1,.,.,74,68,80,44,62,52,72,68,65,56,-1,-1,53,33,76,67,48,31,33,36,77,71,77,72,66,52,56,78
'036903,68,39,-1,-1,-1,-1,.,.,70,48,44,33,63,40,60,42,66,38,.,.,68,38,77,52,63,35,30,20,75,60,73,52,53,24,-1,-1
'037901,29,21,-1,-1,.,.,.,.,43,24,21,14,34,20,50,30,32,16,.,.,29,21,38,21,19,11,-1,-1,77,38,38,22,58,33,.,.
'037904,37,46,38,31,-1,-1,.,.,35,40,16,20,29,36,31,44,32,41,-1,-1,37,46,39,36,27,34,29,19,50,50,35,41,37,35,42,50
'037907,18,27,60,40,.,.,.,.,43,46,27,27,37,40,39,49,21,26,.,.,0,11,46,43,14,20,44,39,49,54,41,43,52,56,18,18
'037908,25,39,.,.,.,.,.,.,23,40,-1,-1,23,38,6,39,21,39,.,.,23,36,36,40,20,36,-1,-1,38,50,27,41,0,33,-1,-1
'037909,-1,-1,-1,-1,.,.,.,.,72,56,-1,-1,61,44,91,82,80,40,.,.,-1,-1,57,36,25,25,-1,-1,81,69,63,50,89,67,-1,-1
'038901,-1,-1,-1,-1,-1,-1,.,.,59,42,-1,-1,56,33,58,37,54,29,.,.,-1,-1,61,47,39,21,30,10,60,44,62,42,33,33,-1,-1
'039902,-1,-1,60,40,-1,-1,.,.,49,46,.,.,41,41,37,49,33,17,.,.,-1,-1,63,44,26,19,25,13,49,49,47,42,57,64,60,80
'039903,-1,-1,-1,-1,.,.,.,.,39,29,.,.,28,22,38,23,-1,-1,.,.,-1,-1,39,33,33,33,-1,-1,33,30,48,39,13,0,.,.
'039904,.,.,.,.,.,.,.,.,38,77,.,.,40,80,38,75,-1,-1,.,.,.,.,40,80,.,.,-1,-1,33,75,40,80,-1,-1,.,.
'039905,.,.,.,.,.,.,.,.,22,33,.,.,29,29,-1,-1,-1,-1,.,.,.,.,20,60,-1,-1,-1,-1,13,25,0,20,-1,-1,.,.
'040901,14,14,-1,-1,.,.,.,.,21,18,.,.,19,15,20,20,24,20,.,.,14,14,23,15,12,12,-1,-1,-1,-1,25,20,13,13,.,.
'040902,80,40,.,.,.,.,.,.,63,41,-1,-1,58,32,85,54,53,24,-1,-1,80,40,43,29,56,33,-1,-1,88,75,60,40,71,43,-1,-1
'041901,.,.,.,.,.,.,.,.,57,43,.,.,30,20,54,62,43,29,.,.,.,.,63,13,67,17,-1,-1,69,54,57,36,57,57,.,.
'041902,.,.,.,.,.,.,.,.,20,40,.,.,20,30,10,40,11,22,.,.,.,.,40,40,-1,-1,.,.,33,67,30,40,0,40,.,.
'042901,-1,-1,-1,-1,.,.,.,.,30,24,-1,-1,33,26,40,27,25,17,.,.,-1,-1,26,23,10,0,-1,-1,31,25,33,24,13,25,-1,-1
'042903,.,.,-1,-1,.,.,.,.,27,27,.,.,27,27,40,40,-1,-1,.,.,.,.,17,17,-1,-1,.,.,43,43,30,30,-1,-1,.,.
'042905,.,.,.,.,.,.,.,.,57,29,-1,-1,50,17,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,60,40,50,17,-1,-1,.,.
'043801,76,56,-1,-1,84,82,.,.,72,68,47,42,73,55,74,83,60,40,-1,-1,68,42,71,59,68,42,31,25,74,67,68,62,79,77,-1,-1
'043802,.,.,.,.,80,80,.,.,73,53,-1,-1,.,.,83,67,-1,-1,.,.,.,.,67,44,.,.,.,.,-1,-1,.,.,73,53,-1,-1
'043901,68,53,75,66,89,81,-1,-1,72,67,48,45,49,43,70,69,59,52,50,75,62,46,73,65,46,38,44,38,73,69,74,69,64,59,69,71
'043902,48,30,50,14,-1,-1,.,.,51,46,48,56,49,38,43,49,46,41,-1,-1,48,30,58,43,39,28,46,19,54,50,51,45,49,48,27,55
'043903,22,61,-1,-1,-1,-1,.,.,57,60,-1,-1,41,46,53,59,32,48,-1,-1,19,56,60,60,30,33,30,36,65,64,58,58,54,65,-1,-1
'043904,35,29,-1,-1,.,.,.,.,51,44,-1,-1,43,36,49,44,42,36,.,.,32,25,53,44,33,22,44,39,58,51,53,43,47,47,60,80
'043905,57,52,56,57,85,79,-1,-1,65,65,33,42,32,37,63,67,46,51,56,44,47,42,67,62,31,28,39,36,63,63,67,67,61,58,61,54
'043907,51,41,66,58,75,72,-1,-1,57,53,34,36,42,38,56,58,49,44,67,56,49,37,57,49,39,32,38,34,66,62,58,54,51,49,55,52
'043908,54,38,69,54,80,80,-1,-1,75,66,63,63,50,53,72,72,62,60,-1,-1,33,22,78,61,52,35,58,42,83,70,74,64,77,68,88,88
'043910,58,48,63,57,85,77,-1,-1,65,60,43,44,43,37,62,64,44,40,71,43,47,35,67,57,43,34,40,37,72,70,67,63,57,53,57,53
'043911,33,35,44,44,-1,-1,-1,-1,47,42,40,46,40,34,39,38,39,34,-1,-1,27,27,54,46,34,26,29,21,62,52,49,45,44,37,58,33
'043912,66,56,61,48,83,75,-1,-1,65,60,53,59,44,36,64,62,58,51,-1,-1,64,54,67,57,41,34,42,36,66,60,67,60,64,60,58,55
'043914,61,51,71,62,83,66,.,.,70,62,62,57,56,47,69,67,60,56,-1,-1,57,45,71,57,44,32,48,41,75,66,73,65,63,54,76,70
'043917,40,60,-1,-1,.,.,.,.,55,61,.,.,46,50,59,63,47,60,.,.,40,60,50,58,37,53,-1,-1,59,59,57,62,50,57,-1,-1
'043918,54,63,67,50,-1,-1,-1,-1,57,56,60,53,55,49,55,61,53,53,-1,-1,54,63,59,49,43,47,21,21,56,58,57,54,56,59,-1,-1
'043919,-1,-1,82,73,83,70,.,.,85,77,73,73,60,70,79,78,71,71,-1,-1,-1,-1,91,75,62,54,52,52,88,79,88,77,76,76,86,100
'044902,14,29,-1,-1,.,.,.,.,36,38,-1,-1,24,28,22,35,26,35,.,.,14,29,50,41,8,16,14,14,50,45,36,39,-1,-1,-1,-1
'045902,20,10,-1,-1,-1,-1,.,.,49,35,33,27,40,29,56,37,43,29,.,.,20,10,44,33,30,15,55,55,63,47,49,32,50,42,-1,-1
'045903,25,19,-1,-1,.,.,.,.,45,25,27,7,41,22,39,24,46,33,.,.,25,19,50,26,25,13,17,17,64,14,44,27,46,15,.,.
'045905,23,31,-1,-1,.,.,.,.,45,39,0,0,30,24,38,50,35,39,.,.,23,31,52,30,29,24,-1,-1,70,50,46,34,40,60,.,.
'046802,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'046901,43,39,45,45,78,78,.,.,55,55,53,60,37,39,52,57,43,43,-1,-1,43,39,57,53,29,32,33,35,68,68,57,56,50,52,50,50
'046902,37,30,54,57,73,59,.,.,59,56,48,48,39,39,58,59,47,47,-1,-1,35,29,60,54,32,24,30,31,69,63,62,57,51,54,70,58
'047901,58,37,-1,-1,.,.,.,.,52,39,.,.,47,27,68,48,48,31,.,.,58,37,38,31,41,24,31,23,59,49,53,40,50,33,29,14
'047902,0,60,.,.,.,.,.,.,51,63,.,.,43,57,48,65,32,45,.,.,0,60,54,61,25,42,-1,-1,66,76,50,63,55,64,-1,-1
'047903,33,17,.,.,.,.,.,.,36,18,.,.,33,22,-1,-1,33,22,.,.,33,17,43,14,29,14,-1,-1,-1,-1,44,22,-1,-1,.,.
'047905,.,.,.,.,.,.,.,.,33,33,.,.,43,29,14,43,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,25,38,33,33,-1,-1,.,.
'048901,-1,-1,.,.,-1,-1,.,.,31,15,.,.,30,10,50,25,20,10,.,.,-1,-1,0,0,17,17,-1,-1,-1,-1,25,8,-1,-1,.,.
'048903,-1,-1,-1,-1,.,.,.,.,31,15,.,.,25,8,43,29,-1,-1,.,.,-1,-1,17,0,-1,-1,-1,-1,43,14,44,22,-1,-1,.,.
'049901,42,27,60,50,-1,-1,.,.,43,30,15,15,39,27,43,36,43,25,-1,-1,42,27,43,25,30,18,38,21,45,40,43,31,41,30,-1,-1
'049902,.,.,-1,-1,.,.,.,.,60,60,.,.,14,29,67,80,-1,-1,.,.,.,.,55,45,0,0,11,11,64,64,61,55,-1,-1,-1,-1
'049903,50,33,-1,-1,.,.,.,.,53,53,.,.,43,43,46,38,44,44,.,.,50,33,58,64,44,28,17,33,55,55,50,53,57,52,-1,-1
'049905,-1,-1,-1,-1,.,.,.,.,44,43,.,.,32,34,50,52,30,30,-1,-1,-1,-1,38,33,17,17,40,0,47,45,38,42,56,44,-1,-1
'049906,-1,-1,-1,-1,.,.,.,.,38,44,.,.,31,38,20,40,-1,-1,-1,-1,-1,-1,53,47,0,13,-1,-1,42,46,37,48,40,20,-1,-1
'049907,.,.,-1,-1,-1,-1,.,.,58,60,.,.,-1,-1,42,74,-1,-1,.,.,.,.,71,48,33,44,-1,-1,57,57,57,63,60,50,-1,-1
'049908,-1,-1,.,.,.,.,.,.,11,30,.,.,0,33,-1,-1,-1,-1,.,.,-1,-1,20,33,-1,-1,.,.,14,38,17,33,-1,-1,-1,-1
'049909,.,.,.,.,.,.,.,.,50,33,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,-1,-1,40,40,-1,-1,-1,-1,.,.
'050901,-1,-1,.,.,.,.,.,.,19,19,.,.,17,17,22,33,-1,-1,.,.,-1,-1,14,0,8,8,-1,-1,8,17,18,18,20,20,-1,-1
'050902,26,32,50,50,-1,-1,.,.,47,46,-1,-1,41,36,48,52,29,33,.,.,0,0,47,41,24,10,25,25,55,51,48,48,43,41,45,45
'050904,-1,-1,-1,-1,.,.,.,.,56,44,.,.,57,43,-1,-1,-1,-1,.,.,-1,-1,67,50,-1,-1,.,.,60,40,67,33,-1,-1,.,.
'050909,.,.,.,.,.,.,.,.,14,36,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,20,40,.,.,-1,-1,18,36,17,33,-1,-1,.,.
'050910,42,36,59,48,80,50,63,58,53,47,47,43,45,37,50,45,46,43,.,.,43,36,56,49,28,23,37,38,56,50,54,48,50,47,38,23
'051901,.,.,-1,-1,.,.,.,.,47,20,.,.,50,25,57,43,44,11,-1,-1,.,.,38,0,38,15,-1,-1,-1,-1,46,15,-1,-1,.,.
'052901,53,41,-1,-1,.,.,.,.,48,40,-1,-1,49,36,51,49,46,37,.,.,53,41,44,31,47,37,40,40,58,50,45,42,62,31,-1,-1
'053001,14,0,.,.,.,.,.,.,20,20,.,.,17,23,20,20,18,24,.,.,0,0,21,21,0,0,-1,-1,27,9,20,20,-1,-1,.,.
'054901,.,.,.,.,.,.,.,.,33,39,.,.,33,39,29,43,33,39,.,.,.,.,36,36,-1,-1,-1,-1,.,.,27,33,-1,-1,.,.
'054902,.,.,.,.,.,.,.,.,32,41,-1,-1,22,28,33,42,28,39,.,.,.,.,30,40,-1,-1,-1,-1,-1,-1,35,41,20,40,-1,-1
'054903,-1,-1,.,.,.,.,.,.,26,29,-1,-1,23,15,18,29,13,17,.,.,-1,-1,33,28,6,6,17,17,60,60,32,36,10,10,.,.
'055901,-1,-1,.,.,.,.,.,.,12,32,.,.,5,21,18,41,10,24,.,.,-1,-1,0,13,0,0,-1,-1,-1,-1,11,26,17,50,.,.
'056901,17,4,-1,-1,.,.,.,.,38,21,-1,-1,33,11,36,19,34,16,-1,-1,10,5,40,23,17,7,30,30,50,32,33,19,65,29,-1,-1
'056902,-1,-1,.,.,.,.,.,.,36,29,.,.,33,33,0,0,29,29,.,.,-1,-1,63,50,-1,-1,-1,-1,43,29,44,33,20,20,.,.
'057802,0,10,-1,-1,.,.,.,.,14,24,5,20,7,19,14,24,19,23,.,.,0,10,13,23,13,21,-1,-1,-1,-1,10,30,16,19,.,.
'057803,43,31,38,38,89,83,.,.,45,36,38,33,40,31,44,40,42,31,-1,-1,38,27,45,32,29,19,29,22,68,62,47,39,39,29,56,19
'057804,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057805,27,27,.,.,.,.,.,.,36,39,-1,-1,25,25,31,50,32,32,.,.,27,27,41,29,24,24,-1,-1,50,50,36,39,.,.,-1,-1
'057806,15,13,-1,-1,-1,-1,.,.,20,21,15,12,15,17,16,24,17,19,.,.,11,8,24,18,9,9,17,0,33,44,22,24,17,15,-1,-1
'057807,29,27,36,82,-1,-1,.,.,25,34,21,30,23,30,26,39,23,31,-1,-1,23,16,23,28,12,10,22,22,38,46,28,37,18,27,-1,-1
'057808,48,44,-1,-1,84,82,.,.,71,70,41,41,52,52,73,75,45,48,.,.,47,43,69,66,49,44,-1,-1,-1,-1,76,74,56,58,-1,-1
'057809,25,50,-1,-1,.,.,.,.,11,26,0,14,12,29,7,29,18,36,.,.,25,50,20,20,11,28,.,.,.,.,11,28,-1,-1,.,.
'057810,-1,-1,.,.,.,.,.,.,61,87,67,89,61,87,86,100,40,80,.,.,-1,-1,50,81,61,87,.,.,.,.,50,100,67,80,-1,-1
'057813,39,35,.,.,-1,-1,.,.,39,33,29,29,38,32,40,37,39,33,-1,-1,39,35,37,28,38,33,23,19,-1,-1,43,36,29,27,-1,-1
'057814,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057816,-1,-1,-1,-1,.,.,.,.,32,26,32,26,35,30,35,29,20,-1,-1,-1,-1,-1,30,22,20,21,27,27,.,.,34,30,30,17,-1,-1
'057819,10,20,-1,-1,.,.,.,.,33,33,-1,-1,29,29,20,40,31,23,.,.,10,20,50,25,10,20,-1,-1,-1,-1,23,38,60,20,-1,-1
'057827,36,30,.,.,.,.,.,.,30,31,25,25,31,33,17,21,33,35,.,.,36,30,48,45,35,31,-1,-1,.,.,41,34,6,25,.,.
'057828,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057829,25,22,-1,-1,.,.,.,.,24,22,-1,-1,25,22,23,27,25,22,.,.,21,19,24,14,21,19,31,31,-1,-1,23,25,24,18,-1,-1
'057830,48,43,.,.,.,.,.,.,46,37,70,40,47,35,47,45,44,36,.,.,48,43,46,29,48,43,-1,-1,.,.,48,43,44,26,-1,-1
'057831,.,.,.,.,.,.,.,.,38,38,41,41,39,35,40,40,-1,-1,.,.,.,.,36,36,25,17,-1,-1,.,.,33,25,42,50,.,.
'057833,-1,-1,-1,-1,-1,-1,.,.,47,43,42,45,40,42,58,58,14,0,.,.,-1,-1,33,23,0,0,-1,-1,58,50,52,54,43,33,-1,-1
'057834,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057835,51,41,.,.,.,.,.,.,54,46,17,33,53,46,49,51,55,46,.,.,51,41,58,42,51,41,17,17,-1,-1,54,46,55,45,.,.
'057836,.,.,-1,-1,.,.,.,.,22,31,20,29,18,25,13,44,.,.,.,.,.,.,30,21,5,21,-1,-1,.,.,24,32,14,29,.,.
'057839,46,29,.,.,.,.,.,.,38,30,.,.,37,27,33,31,39,31,.,.,44,26,43,27,38,24,9,18,-1,-1,39,30,22,22,60,0
'057840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057841,58,37,.,.,.,.,.,.,50,39,33,67,.,.,49,46,50,35,-1,-1,58,37,51,33,50,35,20,20,-1,-1,60,46,35,29,-1,-1
'057844,40,34,-1,-1,48,67,.,.,43,46,28,40,36,42,46,48,38,25,.,.,32,26,39,42,28,28,-1,-1,57,40,44,54,43,31,-1,-1
'057845,0,0,-1,-1,-1,-1,.,.,52,43,25,43,41,36,49,41,27,23,.,.,0,0,56,46,10,0,-1,-1,69,60,56,45,47,42,.,.
'057846,30,30,60,40,-1,-1,.,.,33,32,31,31,26,26,32,35,27,28,.,.,30,30,34,29,25,28,9,0,63,50,29,34,37,30,-1,-1
'057847,-1,-1,-1,-1,-1,-1,.,.,27,34,13,27,18,28,34,39,31,35,.,.,-1,-1,21,28,-1,-1,0,10,44,50,24,29,31,40,-1,-1
'057848,35,35,40,40,65,64,-1,-1,36,39,29,33,30,31,33,42,33,36,-1,-1,35,35,40,34,26,26,20,23,53,54,42,44,33,35,44,36
'057850,-1,-1,.,.,.,.,.,.,68,47,.,.,73,45,-1,-1,56,44,.,.,-1,-1,75,50,-1,-1,-1,-1,80,50,.,.,68,47,.,.
'057851,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057903,43,35,33,46,83,71,-1,-1,48,44,32,32,40,35,49,48,43,38,14,43,41,33,48,41,39,31,35,27,64,63,50,45,43,42,49,34
'057904,43,34,48,33,71,57,.,.,38,32,32,30,35,28,38,33,44,34,.,.,41,33,37,31,25,19,21,19,50,30,40,35,34,26,44,33
'057905,46,44,54,49,62,53,63,75,45,42,30,28,42,39,43,46,47,44,39,39,46,44,46,39,44,42,29,26,70,66,47,43,36,37,49,38
'057906,35,24,35,25,-1,-1,.,.,34,27,30,27,31,26,36,32,41,26,.,.,35,24,32,23,21,15,23,23,56,38,32,26,36,29,43,29
'057907,53,39,32,32,45,36,-1,-1,42,38,31,32,41,36,37,40,48,41,50,67,52,38,46,36,35,27,33,23,70,45,46,42,34,31,15,15
'057909,56,48,53,60,79,67,-1,-1,53,48,40,37,47,43,52,52,51,45,36,43,56,48,54,44,46,39,32,26,62,56,54,48,47,46,54,36
'057910,49,42,58,58,70,52,80,40,50,45,47,44,47,40,48,48,48,43,33,17,49,42,52,41,42,34,27,25,55,54,51,46,45,41,43,43
'057911,83,67,89,86,82,82,-1,-1,78,77,-1,-1,.,.,79,81,88,73,-1,-1,-1,-1,78,73,65,47,60,64,77,76,79,77,73,76,76,82
'057912,43,30,67,56,68,53,-1,-1,42,33,32,31,40,30,41,36,42,31,22,30,40,26,43,30,34,22,30,21,44,40,43,33,34,31,41,18
'057913,77,60,50,50,.,.,.,.,43,39,36,33,43,36,44,41,66,56,.,.,77,60,42,37,37,30,26,24,71,71,46,41,39,35,50,50
'057914,51,40,36,40,65,70,50,33,45,39,35,34,43,36,43,40,48,40,14,29,51,40,47,38,43,34,30,28,48,45,47,41,39,33,47,37
'057916,45,32,54,56,67,56,.,.,55,48,39,34,40,31,52,50,44,35,40,-1,44,31,57,46,36,25,31,26,75,69,58,51,42,37,51,40
'057919,50,17,20,20,84,81,.,.,59,65,30,40,17,13,62,72,33,43,.,.,40,0,56,59,36,9,23,27,66,75,60,65,56,68,-1,-1
'057922,70,62,58,52,85,80,-1,-1,72,70,36,36,29,39,70,73,50,53,-1,-1,62,52,74,68,48,42,36,38,64,68,73,72,70,67,53,35
'058902,-1,-1,.,.,.,.,.,.,31,44,.,.,20,50,20,60,20,50,.,.,-1,-1,36,36,-1,-1,-1,-1,50,33,27,45,40,40,-1,-1
'058905,-1,-1,-1,-1,.,.,.,.,80,80,.,.,67,50,89,100,78,67,.,.,-1,-1,75,69,-1,-1,-1,-1,80,87,90,90,-1,-1,-1,-1
'058906,40,40,-1,-1,.,.,.,.,30,22,20,0,22,14,26,20,23,16,.,.,40,40,32,23,20,13,20,20,62,52,29,21,32,24,.,.
'058909,-1,-1,.,.,.,.,.,.,39,43,.,.,40,53,27,27,50,33,-1,-1,-1,-1,47,53,21,21,-1,-1,27,47,41,47,36,36,-1,-1
'059901,47,39,.,.,-1,-1,.,.,39,36,.,.,38,33,39,38,38,34,.,.,47,39,40,33,31,30,23,12,60,60,40,38,34,24,17,17
'059902,-1,-1,.,.,.,.,.,.,45,40,.,.,38,23,55,45,44,31,.,.,-1,-1,33,33,10,10,17,17,-1,-1,38,38,57,43,-1,-1
'060902,.,.,-1,-1,.,.,.,.,26,26,17,33,21,21,22,28,-1,-1,-1,-1,.,.,33,24,0,7,-1,-1,28,28,28,28,21,21,.,.
'060914,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
'061802,43,21,.,.,.,.,.,.,35,26,40,40,38,35,24,29,43,21,.,.,43,21,47,24,31,24,-1,-1,20,20,45,25,21,29,-1,-1
'061804,62,62,-1,-1,95,84,.,.,80,74,62,77,-1,-1,75,80,67,67,.,.,43,29,83,70,38,38,86,71,68,60,79,75,83,72,-1,-1
'061805,33,33,.,.,70,50,-1,-1,58,59,20,40,-1,-1,65,62,53,47,.,.,-1,-1,48,55,8,17,0,33,61,73,56,59,59,59,.,.
'061901,39,30,57,45,62,47,-1,-1,49,45,32,35,37,32,44,49,38,34,56,33,37,28,53,40,32,26,32,24,59,54,50,46,45,41,51,30
'061902,34,33,61,56,73,67,43,43,52,50,30,30,30,29,51,54,33,34,60,55,30,30,53,47,27,23,31,29,64,61,53,51,46,46,53,42
'061903,31,31,-1,-1,.,.,.,.,35,35,-1,-1,26,26,32,39,31,31,-1,-1,31,31,37,33,27,30,50,40,38,38,39,39,25,25,-1,-1
'061905,16,16,57,29,.,.,.,.,34,38,-1,-1,23,20,30,32,18,25,.,.,11,11,37,42,17,13,15,12,42,46,34,37,33,42,-1,-1
'061906,25,0,40,20,.,.,.,.,52,32,-1,-1,37,20,45,34,35,16,.,.,25,0,58,30,33,8,33,0,59,40,52,33,53,28,67,33
'061907,50,36,50,60,.,.,.,.,59,54,9,45,37,40,54,55,39,32,-1,-1,50,36,63,52,42,32,29,17,67,58,66,59,42,40,83,17
'061908,40,33,60,50,-1,-1,.,.,46,41,60,40,38,35,42,48,43,36,-1,-1,40,33,50,34,30,20,15,15,46,44,46,40,45,44,-1,-1
'061910,46,46,90,70,83,67,.,.,70,60,-1,-1,52,41,66,63,59,49,-1,-1,38,25,73,57,42,24,46,41,71,63,69,61,71,58,55,64
'061911,45,41,65,70,74,74,80,60,54,56,38,44,34,37,53,60,41,44,60,40,40,37,55,52,33,31,30,31,59,60,57,58,47,50,60,55
